,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
0,"독특하지만 매우 맛있지는 않다
한번정도는 먹어볼만한 맛",5,2024.03.18.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 2인싱글,평범해요,아주 넉넉해요,꼼꼼해요
1,간식으로 구매~~~~,4,2024.03.18.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
2,맛있네요 굿굿 배고플때 먹으면 딱이에요,5,2024.03.18.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 2인신혼/부부,꽤 남았어요,꼼꼼해요,맛있어요
3,"생각보다 매워요 제가 맵찔이 이지만 
떡볶이를 먹는다면 매운떡볶이 맛 깔끔한 고추장맛이에요",4,2024.03.17.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 1인싱글,꽤 남았어요,꼼꼼해요,맛있어요
4,맛있어요 쫄깃하거 좋아요,5,2024.03.16.,수량: 2Box(24개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
5,"배송 총알이고요
떡 맛 나네요",5,2024.03.16.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
6,재구매!!! 치즈맛은 생각했던것보다 끌리진않네용 떡볶이 땡길때마다 하나씩 꺼내먹기 너무 좋아요 :),5,2024.03.16.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
7,재구매!!! 치즈맛은 생각했던것보다 끌리진않네용 떡볶이 땡길때마다 하나씩 꺼내먹기 너무 좋아요 :),5,2024.03.16.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
8,중독적인 매콤한맛에 순삭햇어요,4,2024.03.15.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,적당해요,맛있어요
9,"하나 맛보고서 너무  제 스타일이라
주문했어요.
꼼꼼하게 포장되어 왔고
배송도 빠르네요.
맛이 있어 강추합니다",5,2024.03.15.,수량: 3Box(36개입) / 맛선택: 치즈맛,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
10,"지인이 하나 먹어보라고 해서 먹었다가
너무 맛있고 제스타일이라
이번엔 제 지인들과  함께 구매했어요^
꼼꼼한 포장 ~  빠른 배송~
감사합니다",5,2024.03.15.,수량: 2Box(24개입) / 맛선택: 치즈맛,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
11,아들이 사달라고 졸라서 구입해봤는데 떡같기도 빵같기도 하고 신선하고 간식으로 괜찮은거 같아요^^,5,2024.03.15.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
12,가족들 간식으로 처ㅣ고에요 넘  맛있네요,5,2024.03.15.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
13,너무 맛있구 주변사람들도 나눠줬는데 다들 맛있다거 하네요,5,2024.03.15.,수량: 2Box(24개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
14,간편하게 먹기 좋네요 맛있어요,5,2024.03.13.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
15,"떡볶이 맛이나고 좀 매워요
치즈는 고소하고 맛있어요
다만 가격이.. ;;;
가격이
마음에 들지 않아 별하나 뺐어요",4,2024.03.13.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
16,간식으로 너무 좋아요 편리하고 맛두 있고 최고네요,5,2024.03.13.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
