,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
0,빠른배송 감사합니다~,5,2024.03.07.,구매품: 롯데-게토레이레몬향240ml x30,,아주 넉넉해요,꼼꼼해요,맛있어요
1,빠른배송 감사합니다~,5,2024.03.07.,구매품: 코카-파워에이드240ml x30,,아주 넉넉해요,꼼꼼해요,맛있어요
2,빠른배송 감사합니다~,5,2024.03.07.,구매품: 코카-토레타240ml x30,,아주 넉넉해요,꼼꼼해요,맛있어요
3,사무실에 쟁겨놓고 떨어지면 채워놓고 있어요,5,2023.09.26.,구매품: 롯데-게토레이레몬향240㎖(30캔),구매자거주인원 6인 이상대가족,아주 넉넉해요,꼼꼼해요,맛있어요
4,사무실에 쟁겨놓고 떨어지면 채워놓고 있어요,5,2023.09.26.,구매품: 코카-파워에이드240㎖(30캔),구매자거주인원 6인 이상대가족,아주 넉넉해요,꼼꼼해요,맛있어요
5,맛있어요 목마를때 딱,5,2023.09.24.,구매품: 코카-파워에이드240㎖(30캔),구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
6,맛있어요 목마를때 딱,5,2023.09.24.,구매품: 코카-토레타240㎖(30캔),구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
7,"가성비 최고
번창하세요",5,2023.09.22.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
8,굿굿 계속 잘 먹고있습니다,5,2023.09.22.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
9,유통기한이 길어서 오래 두고 먹을수있어서 좋네요 매일 1개씩 먹고있어요 감사합니당,5,2023.09.14.,구매품: 코카-파워에이드340㎖(24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
10,배송이 빠르고 친절하였습니다.,5,2023.09.01.,구매품: 동아-포카리스웨트340㎖(뚱24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
11,"여름에 열사병+탈수 예방용으로 한박스 구매했어요. 일하시는 분들 나눠주시면 좋아라 하십니다
포카리보다 칼로리 낮아서 좋아요
숙취 있는 날 이거 원샷하고 낮잠자면 굿",5,2023.08.31.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,적당해요,맛있어요
12,탕비실 음료로 최고예요,5,2023.08.30.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,적당해요,맛있어요
13,탕비실 음료로 최고예요,5,2023.08.30.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,적당해요,맛있어요
14,좋은제품착한가격에구매했어요,5,2023.08.30.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
15,가성비 좋아요 여름에 항상 주문,5,2023.08.25.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
16,좋아요 다음에도 구매할게요,5,2023.08.22.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
17,좋아요 다음에도 구매할게요,5,2023.08.22.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
18,재구매 합니다. 많이 파세요,5,2023.08.21.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
19,맛잇고 포장 꼼꼼하고 유통기간 넉넉해요^^,5,2023.08.20.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
20,배달도 빠르고 좋습니다,5,2023.08.01.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
21,빠른배송 감사합니다~,5,2023.07.31.,구매품: 코카-파워에이드240㎖(30캔),,평범해요,꽤 남았어요,적당해요
22,좋은물건착한가격에구매했네요,5,2023.07.28.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
23,빠른 배송 감사합니다,5,2023.07.25.,구매품: 동아-포카리스웨트240㎖(30캔),,꽤 남았어요,꼼꼼해요,맛있어요
24,좋습니다. 저렴하게 잘 구입했어요,5,2023.07.25.,구매품: 코카-토레타340㎖(뚱24캔),,평범해요,꽤 남았어요,적당해요
25,배송이 빠릅니다. 사무실에 비치해두는 음료입니다. 금방 동이나서 이번엔 2박스 주문했습니다.,5,2023.07.25.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
26,빠른배송감사합니다오용,5,2023.07.24.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
27,빠른 배송 감사합니다,5,2023.07.24.,구매품: 동아-포카리스웨트240㎖(30캔),,꽤 남았어요,적당해요,맛있어요
28,저렴하게 잘 구매했습니다,4,2023.07.24.,구매품: 코카-파워에이드240㎖(30캔),,꽤 남았어요,꼼꼼해요,맛있어요
29,저렴하게 잘 구매했습니다,4,2023.07.24.,구매품: 코카-파워에이드340㎖(24캔),,꽤 남았어요,꼼꼼해요,맛있어요
30,만족합니다 빠른배송 품질도 좋아요,3,2023.07.22.,구매품: 코카-파워에이드240㎖(30캔),,평범해요,꽤 남았어요,적당해요
31,만족합니다 빠른배송 품질도 좋아요,4,2023.07.22.,구매품: 코카-파워에이드240㎖(30캔),,평범해요,꽤 남았어요,적당해요
32,빠른배송 좋습니다 나이스,5,2023.07.20.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
33,빠른 배송 감사합니다.,5,2023.07.19.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
34,빠른 배송으로 잘 사용하고있습니다.,5,2023.07.18.,구매품: 코카-파워에이드240㎖(30캔),,꽤 남았어요,적당해요,맛있어요
35,"가성비 굿!! 
빠른배송!!",5,2023.07.18.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,적당해요,맛있어요
36,빠른배송 감사드립니다,5,2023.07.17.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
