,names,contents,detailed_describes,forms,prices,provides,first_upload_dates,final_updated_dates,categories,sizes,views,downloads,recommends
0,감염병 특허의 권리자/명칭/초록 텍스트 데이터 (미국특허),감염병 특허의 권리자/명칭/초록 텍스트 데이터,"■ 데이터상품설명
ICD 질병분류코드에 정의된 감염질환을 기준으로 질병별로 정리된 특허데이터를 가공해 제공합니다. 본 데이터 상품은 원문에 가까운 데이터의 제공이 목적이며, 질병/특허번호/날짜/권리자/명칭/초록 등의 정보가 수록되어있습니다.

■ 간략 통계
수록 감염병: 약 600종 (정의된 감염질환 1200여개에 대해 모두 스크리닝)
수록 특허수: 약 5만건 (2022년 10월 현재기준)
질병당 특허수 :평균 300건 (최소1 최대 11694건)

■ 데이터 내용설명
아래와 같은 데이터를 포함하고 있습니다
1) 질병정보 (질병ID/질병코드/질병명)
2) 특허번호정보 (특허ID/출원번호/등록번호)
3) 특허날짜정보 (출원일자/등록일자)
4) 특허권리자
5) 특허원문 (발명의명칭/초록)

■ 참고: ICD10 질병분류코드
코로나바이러스감염증-19 [U07.1]
콜레라 [A00]
결핵 [A15-A19]
디프테리아 [A36]
패혈증 [A40-41]
크로이츠펠트-야콥병 [A81.0]
바이러스수막염 [A87]
지카 바이러스 질환 [A92.5]
황열 [A95]
뎅기 [A97]
에볼라바이러스병 [A98.4]
헤르페스바이러스[단순헤르페스] 감염 [B00]
대상포진 [B02]
바이러스간염 [B15-B19]
인체면역결핍바이러스병 [B20-B24]
감염성 단핵구증 [B27]
백선증 [B35]
칸디다증 [B37]
샤가스병 [B57]
연충증 [B65-B83]
메티실린 내성 황색포도상구균 [U82.1]",csv/zip,무료,BLT,2022-12-07,2022-12-07,감염병특허,132.68 MB,689,59,6
1,기간별 감염병 환자 정보,기간별 감염병 환자 정보,"1. 실손보험청구 데이터를 활용하여 기간별 감염병 환자 정보의 수를 생성 
2. 제공되는 데이터는 2022년 4월부터의 데이터를 제공하며 매월 신규 데이터가 축적 됨",csv/zip,무료,레몬헬스케어,2022-12-13,2022-12-13,실손보험,1.00 KB,472,64,3
2,진단 데이터셋 공개데이터,진단 데이터셋 공개데이터,"[데이터 출처]
BMC Infectious Diseases, JAMA Network Open, Frontiers in Immunology 등 주요 의학 저널 3종에 게재된 호흡기 감염병의 진단에 관련된 의학 학술논문, 의료보고서
[데이터 가공 방식]
의학 논문 및 보고서의 메타데이터, 추출 키워드 데이터셋 분석
[데이터 범위]
분자진단법, 항원/항체법, 세포배양법 등의 호흡기 감염병 진단에 관한 2017~2021년 의학 자료
*2017년 이전과 2021년 이후 데이터는 순차적으로 추가될 예정입니다.",json/zip,무료,비네아,2022-12-01,2023-01-03,의료,89.00 KB,464,144,2
3,[기본] 021. 코로나 바이러스 감염증_감염병 특허 분석보고서 (2022),[기본] 021. 코로나 바이러스 감염증_감염병 특허 분석보고서 (2022),"■ 질병 설명

2019년 12월 중국 우한에서 처음 발생한 이후 중국 전역과 전 세계로 확산된, 새로운 유형의 코로나바이러스(SARS-CoV-2)에 의한 호흡기 감염질환입니다. 코로나바이러스감염증-19는 감염자의 비말(침방울)이 호흡기나 눈·코·입의 점막으로 침투될 때 전염됩니다. 감염되면 약 2~14일(추정)의 잠복기를 거친 뒤 발열(37.5도) 및 기침이나 호흡곤란 등 호흡기 증상, 폐렴이 주증상으로 나타나지만 무증상 감염 사례 빈도도 높게 나오고 있습니다.

■ 보고서 설명

바이오 분야 특허 전문가 집단인 <특허법인 BLT>와 특허 빅데이터 가공 전문가 집단인 <광개토 연구소>의 컨소시움을 통해 ""Bigdata for Everyone""을 지향하는 데이터 보고서 상품을 설계했습니다. 데이터 분석 전문가를 위한 원문 데이터부터, 문장 또는 키워드 단위로 가공 처리된 가공 데이터, 각 데이터로부터 산출된 동향 및 지표가 표와 차트로 구성하여 보고서를 작성하였습니다.

* 본 보고서는 코로나 바이러스에 관한 특허 분석의 기본 보고서(무료배포)이나, 다양한 분야의 연구기관에서 참고할 수 있도록 심화 보고서 수준으로 작성되었습니다.
 
■ 보고서 구성

해당 감염병의 특허 분석을 위해 아래의 내용을 포함하고 있습니다.

감염병의 특허 분석을 위해 아래의 내용을 포함하고 있습니다.

1. 특허 동향 및 평가 데이터 분석

2. 관련 특허 권리자 분석
(핵심기업/ 전문기업/ 급성장기업/ 대학 및 연구기관)

3. 특허 핵심 연구자 분석
특허수/점유율/집중률/매입/소송/심판/피인용/패밀리/피인용지표
융합성/등록률/등록소요기간/권리범위 유지율/self 피인용수 등

4. 특허 키워드 분석:
급성장 키워드/특화성 높은 키워드/거래 특허 키워드

5. 특별 특허 정보 분석
거래 특허/M&A를 통한 이전 특허",pdf/zip,무료,BLT,2022-12-09,2022-12-19,감염병특허,6.69 MB,319,39,2
4,국민계정(국민소득-주요지표),국민계정(국민소득-주요지표),TB_BK_NA_INCOME1_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,254,44,3
5,감염병이 등장한 특허문서내 문장정보 (미국특허),감염병이 등장한 특허문서내 문장정보,"■ 데이터상품설명
ICD 질병분류코드에 정의된 감염질환을 기준으로 질병별로 정리된 특허데이터를 가공해 제공합니다. 본 데이터 상품은 특허 데이터를 문장단위로 가공하여 특정 감염질환이 등장한 문장만을 선별 제공하는 것을 목적으로 하고 있으며, 질병/특허번호/날짜/권리자/문장구역/문장정보 등의 정보가 수록되어있습니다.

■ 간략 통계
수록 감염병: 약 600종 (정의된 감염질환 1200여개에 대해 모두 스크리닝)
수록 특허수: 약 5만건 (2022년 10월 현재기준)
질병당 특허수 :평균 300건 (최소1 최대 11694건)
질병당 문장수: 평균 617개 (최소1 최대 23599개)

■ 데이터 내용설명
아래와 같은 데이터를 포함하고 있습니다
1) 질병정보 (질병ID/질병코드/질병명)
2) 특허번호정보 (특허ID/출원번호/등록번호)
3) 특허날짜정보 (출원일자/등록일자)
4) 특허권리자
5) 특허문장 (구역구분/문단ID/문장ID/문장정보)

■ 참고: ICD10 질병분류코드
코로나바이러스감염증-19 [U07.1]
콜레라 [A00]
결핵 [A15-A19]
디프테리아 [A36]
패혈증 [A40-41]
크로이츠펠트-야콥병 [A81.0]
바이러스수막염 [A87]
지카 바이러스 질환 [A92.5]
황열 [A95]
뎅기 [A97]
에볼라바이러스병 [A98.4]
헤르페스바이러스[단순헤르페스] 감염 [B00]
대상포진 [B02]
바이러스간염 [B15-B19]
인체면역결핍바이러스병 [B20-B24]
감염성 단핵구증 [B27]
백선증 [B35]
칸디다증 [B37]
샤가스병 [B57]
연충증 [B65-B83]
메티실린 내성 황색포도상구균 [U82.1]",csv/zip,"200,000",BLT,2022-12-08,2022-12-08,감염병특허,138.55 MB,196,1,1
6,"국민계정(국민소득-생산 및 지출 GDP, GDP디플레이터)","국민계정(국민소득-생산및지출GDP,GDP디플레이터)",TB_BK_NA_INCOME2_D,csv/zip,무료,한국은행,2022-12-12,2022-12-12,경제활동,51.00 KB,193,37,1
7,"[기본] 080. 이감염증, 진드기증 및 기타 감염: 감염병 특허 분석보고서 (2022)","[기본] 080. 이감염증, 진드기증 및 기타 감염: 감염병 특허 분석보고서 (2022)","""■ 질병 설명

B85 이감염증 및 사면발이증
B86 옴
B87 구더기증
B88 기타 감염
B89 상세불명의 기생충병

■ 보고서 설명

바이오 분야 특허 전문가 집단인 <특허법인 BLT>와 특허 빅데이터 가공 전문가 집단인 <광개토 연구소>의 컨소시움을 통해 """"Bigdata for Everyone""""을 지향하는 데이터 보고서 상품을 설계했습니다. 데이터 분석 전문가를 위한 원문 데이터부터, 문장 또는 키워드 단위로 가공 처리된 가공 데이터, 각 데이터로부터 산출된 동향 및 지표가 표와 차트로 구성하여 보고서를 작성하였습니다.

■ 보고서 구성

감염병의 특허 분석을 위해 아래의 내용을 포함하고 있습니다.

1. 특허 동향 및 평가 데이터 분석

2. 관련 특허 권리자 분석: 핵심기업/ 전문기업

3. 특허 핵심 연구자 분석: 특허수/점유율/집중률/매입/소송/심판/피인용/패밀리

4. 특허 키워드 분석: 급성장 키워드/특화성 높은 키워드

5. 특별 특허 정보 분석: 거래 특허/M&A를 통한 이전 특허""",pdf/zip,무료,BLT,2022-12-09,2022-12-19,감염병특허,3.11 MB,192,28,0
8,[기본] 001. 패혈증_감염병 특허 분석 보고서 (2022),[기본] 001. 패혈증_감염병 특허 분석 보고서 (2022),"■ 질병 설명

패혈증은 감염에 대한 비정상적인 숙주 반응으로 인한 생명을 위협하는 장기 기능 장애로 정의됩니다. 패혈증은 감염성 미생물(세균, 진균 등)에 의해 발병합니다. 일으키는 원인 중 절반 이상은 호기성 그람양성(Gram-Positive)균이며, 그 중에서도 포도상구균(Staphylococcus)이 70%를 차지합니다. 이외에도 E. coli, Enterobacter, Pseudomonas aeruginosa 등의 그람음성(Gram-negative)균, Candida 등의 진균도 패혈증을 일으킵니다. 따라서 패혈증 자체는 감염병이 아니지만 감염성 미생물의 감염증으로 인한 합병증 중 가장 대표적이기에 특허출원 및 후행연구가 활발히 진행되고 있습니다.


■ 보고서 설명

바이오 분야 특허 전문가 집단인 <특허법인 BLT>와 특허 빅데이터 가공 전문가 집단인 <광개토 연구소>의 컨소시움을 통해 ""Bigdata for Everyone""을 지향하는 데이터 보고서 상품을 설계했습니다. 데이터 분석 전문가를 위한 원문 데이터부터, 문장 또는 키워드 단위로 가공 처리된 가공 데이터, 각 데이터로부터 산출된 동향 및 지표가 표와 차트로 구성하여 보고서를 작성하였습니다.

■ 보고서 구성

감염병의 특허 분석을 위해 아래의 내용을 포함하고 있습니다.

1. 특허 동향 및 평가 데이터 분석

2. 관련 특허 권리자 분석: 핵심기업/ 전문기업

3. 특허 핵심 연구자 분석: 특허수/점유율/집중률/매입/소송/심판/피인용/패밀리

4. 특허 키워드 분석: 급성장 키워드/특화성 높은 키워드

5. 특별 특허 정보 분석: 거래 특허/M&A를 통한 이전 특허",pdf/zip,무료,BLT,2022-12-09,2022-12-19,감염병특허,3.11 MB,177,31,1
9,감염병이 등장한 특허문서내 급성장 기술키워드 (미국특허),감염병이 등장한 특허문서내 급성장 기술키워드,"■ 데이터상품설명
ICD 질병분류코드에 정의된 감염질환을 기준으로 질병별로 정리된 특허데이터를 가공해 제공합니다. 본 데이터 상품은 특허의 명칭/초록/청구항에서 자연어처리를 통해 기술키워드를 추출하여 급성장중인 키워드만을 선별 제공하는것을 목적으로 하고 있으며, 질병/키워드/키워드분류정보/급성장순위값/전체 및 10년간 특허공개량 등의 정보가 수록되어있습니다.

■ 간략 통계
수록 감염병: 약 600종 (정의된 감염질환 1200여개에 대해 모두 스크리닝)
수록 특허수: 약 5만건 (2022년 10월 현재기준)
질병당 특허수 :평균 300건 (최소1 최대 11694건)
질병당 키워드수: 평균 160개 (최소3 최대 1991개)

■ 데이터 내용설명
아래와 같은 데이터를 포함하고 있습니다
1) 질병정보 (질병ID/질병코드/질병명)
2) 키워드정보 (키워드ID/키워드영어명/키워드한국어명/키워드구분)
3) 급성장정보 (급성장순위값)
4) 동향정보 (전체특허/금년특허/1~10년전특허)

■ 참고: ICD10 질병분류코드
코로나바이러스감염증-19 [U07.1]
콜레라 [A00]
결핵 [A15-A19]
디프테리아 [A36]
패혈증 [A40-41]
크로이츠펠트-야콥병 [A81.0]
바이러스수막염 [A87]
지카 바이러스 질환 [A92.5]
황열 [A95]
뎅기 [A97]
에볼라바이러스병 [A98.4]
헤르페스바이러스[단순헤르페스] 감염 [B00]
대상포진 [B02]
바이러스간염 [B15-B19]
인체면역결핍바이러스병 [B20-B24]
감염성 단핵구증 [B27]
백선증 [B35]
칸디다증 [B37]
샤가스병 [B57]
연충증 [B65-B83]
메티실린 내성 황색포도상구균 [U82.1]",csv/zip,"500,000",BLT,2022-12-08,2022-12-08,감염병특허,9.99 MB,159,0,1
