,reviews,ratings,days
0,짜긴 하지만 맛은 괜찮고 비계도 적은편,4.0,1시간 전
1,맛있어요. 그냥 구우면 좀 짜긴해요,4.0,1시간 전
2,고기질 괜찮고 기름도 손질돼서 괜찮은 편인데 짜긴 해요. 구울때 과일 좀 갈아넣으니 괜찮았어요,4.0,1시간 전
3,"싸고 맛있고, 식당 갈필요가 없어요",4.0,3시간 전
4,몇년째구입중인데 요즘고기가 좀 적어진기분이네요 아쉬워요,5.0,3시간 전
5,너무맛잇엇어요..!!!!,3.5,5시간 전
6,윙잇에서 빼놓지않고 구입하는 엘에이갈비,5.0,5시간 전
7,맛있어요 재구매 할 예정입니다,3.5,13시간 전
8,너무맛있어요~~~~~~,5.0,14시간 전
9,늘 맛있지만 늘 양이 적고 늘 비쌈,5.0,17시간 전
10,늘 맛있게 먹고 있어여~~,5.0,17시간 전
11,아버지가 좋아라 하셔서 종종 시켜드리네요~^^,5.0,20시간 전
12,"후기보고 산거였는데
성공했어요
또 주문할께요",4.5,22시간 전
13,가끔 갈비 먹고 싶을때 사먹고 있어요,4.5,23시간 전
14,"비빔국수와 함께 먹고는걸 우리가족들이 좋아해서
주문했어요",5.0,1일 전
15,"LA갈비는 이것만 사게 되네요. 벌써 4번째 구매입니다.
가격대비 맛도 좋아요.",5.0,1일 전
16,늘 믿고 먹는. 갈비입니다,5.0,1일 전
17,"잘 받았습니다.
감사합니다.",5.0,1일 전
18,늘 사먹어용 맛있어요,5.0,1일 전
19,"2번째 구매~^
저렴한 가격에 좋은 제품 구입했어요",5.0,1일 전
20,"빠른배송과 포장 감사드립니다.
맛있게 잘 먹었습니다.
감사드립니다.",5.0,1일 전
21,예전에 맛있어서 여러번 사먹었던건데 이번에 오랜만에 주문해서 먹어보니 양념의 단맛이 너무 강해진것 같아요. 너무 단거는 안 좋아해서 재구매할것 같지 않아요.,3.0,1일 전
22,기름기를깨끗이제거해서 담백하고간도딱좋아요,5.0,2일 전
23,무무무무무무무무무무,5.0,2일 전
24,너무 맛있어요 자꾸 생각나는 맛,5.0,2일 전
25,가격도 좋고 이것만 삽니다,5.0,2일 전
26,맛있어요~~~~~~~~^^,5.0,2일 전
27,집에서 한것처럼 맛있어요,5.0,2일 전
28,프리미엄양념갈비 부담없이 먹기 좋아요.,5.0,2일 전
29,반찬없을때 차리기좋아요,5.0,2일 전
30,비상용으로 쟁여놓습니다. 맛있어서요...,4.5,2일 전
31,역시 기본템! 맛있어요,5.0,2일 전
32,"여러번 구매해도 이갈비가 젤 나은듯
고추조금넣고 당면넣어 칼칼하게도 굿",5.0,2일 전
33,자주 구매해요. 챙겨놓는 아이템입니다.,4.0,2일 전
34,"요번엔 막내여동생네 선물 했답니다.
애들이 맛있다고 잘 먹었나봐요
동생한테서 맛있게 잘 먹었다는 톡을 받았답니다.
갈비 맛집입니다",5.0,2일 전
35,"맛있는 갈비는 계속 먹게 됩니다.
고기 먹자는 짝꿍에게 갈비 해 줬지요
물론 내 솜씨는 아니지만 내가 해 준 것처럼요.
맛있으면 된거지요?
뼈까지 먹을 태세였어요
맛있어서. ㅎ",5.0,2일 전
36,"아들이 갈비 먹고 싶다고 해서 주문해서 이틀동안 먹었답니다.
왜 이틀이냐구요?
아끼면서 아들만 줬거든요",5.0,2일 전
37,"동생한테 맛보라고 선물했더니 맛있게 잘 먹었다고 연락왔어요.
입앗은 모두가 비슷하겠지요?
내가 맛있으면 남들도 맛있게 먹는다는거.
또 주문 할거예요.
요번엔 동생들 모두에게 골고루 해야겠어요",5.0,2일 전
38,맛있게 먹었습니다. 계속 주문할께요,5.0,2일 전
39,"지겹도록 먹어도 안질려요ㅋㅋ
냉동고에 한개있는데 불안해서 또주문했어요
넘나 맛있어요
식당가서 사먹어도 이맛큼 맛있는데는 못봤어요ㅋ
단종된까 무섭네요ㅋ
다들 언능 시키삼ㅋㅋ",5.0,2일 전
40,고기집가기도애매한혼자인지라흡족했슴다,5.0,3일 전
41,다른갈비도 시켜먹었는데 여기가 ㄹㅈㄷ 맛있음,5.0,3일 전
42,너무 맛있어요ㅠㅠㅠㅠㅠ아이들도 진짜 잘먹어요,5.0,3일 전
43,양도 많고 질기지않고 맛있었습니다,3.5,3일 전
44,늘 맛있는 갈비 판매해주셔서 감사할 따름입니다,5.0,3일 전
45,말모해~~자주 애용하고 있습니다 늘 맛있죠 아시잖아요 아는맛이 무서운거~~,5.0,3일 전
46,맛있어서 여기서만 주문해서 먹어요^^,5.0,3일 전
47,"지방만조금 걷어내면 식당보다 맛있어요
편하게 잘먹엇습니다 다음에또 재구매 의향",5.0,3일 전
48,요번에도 비계좀 있어요,3.5,3일 전
49,"1.5kg 구매하고싶었지만 품절로 아쉬운대로 적은양으로 주문합니다
여전히 맛나고 또 주문하겠습니다",5.0,3일 전
50,"울딸이 제일 좋아하는 LA갈비~
양많은건 품절이라 적은걸루 구입했어요
역시 맛나네요",5.0,3일 전
51,잡냄새없고 가족끼리 아주 잘 먹었습니다,4.5,3일 전
52,맛있어서 재주문 했습니다,5.0,3일 전
53,좋아요 아직 다이어트라 일단대기중입니다.,5.0,3일 전
54,부모님도 간편하게 양념갈비 즐기실수있어 너무 편하다고 하시네요,5.0,4일 전
55,"네번째 구매입니다.
맛은 후기대로 좋아요. 기름기도 적고 담백해요.",5.0,4일 전
56,여러번 구매하고 계속 꾸준히 먹고있어요 연하고 맛좋습니다,5.0,4일 전
57,맛있어서매번잘먹고있어요,5.0,4일 전
58,맛있어서매번잘먹고있어요,5.0,4일 전
59,가성비 갑!! 아이가 잘먹어요ㅎㅎ,5.0,4일 전
60,맛있어서 또 구매합니다,5.0,4일 전
61,항상 구매합니다 좋아요 맛있어서 좋아요,5.0,4일 전
62,늘 사먹는 믿먹 아이템. 단짠이 강하지도 않고 고기 두께도 딱 좋고 기름도 딱 적당히 들어 있는 라갈비예요. 늘 쟁여두고 먹습니다.,5.0,4일 전
63,맛있어서 자주 구매해서 먹어요~~,5.0,4일 전
64,기름기적고 너무 부드럽고 맛있어요ㅎ,5.0,4일 전
65,La갈비는 언제나 사랑입니다. 항상 맛나요.,5.0,4일 전
66,맛은 보통입니다 재구매의사 없어요,3.0,5일 전
67,가성비 소소. 기름지네요,4.0,5일 전
68,잘 먹었습니다 ㅎㅎ,4.0,5일 전
69,맛있고 가격도 저렴하니 좋습니다,5.0,5일 전
70,양은좀작지만 맛나요 벌써몇번시켜먹었어요,5.0,5일 전
71,맛이잇어요맛잇어요요,3.0,5일 전
72,재구매상품입니다 맛있어요 ~~~,5.0,5일 전
73,"자주 구매했던 갈비인데 살도 많고 기름도 적어서 맛있어요
양념도 짜지않고 좋아요",5.0,5일 전
74,LA갈비 여기 넘 맛있어요,5.0,5일 전
75,양념이 맛있어요.배송상태도 좋네요.,5.0,5일 전
76,또 구매했습니다. 깔끔하고 맛있어요,5.0,6일 전
77,제가 넘넘 애정하는 제품중에 하나입니다~여러차례 구매해 먹었구여~진짜 맛있는 양념에 숙성된 LA갈비를 손쉽게 먹을수있어서 늘 만족스럽게 이용하고있어요~~,5.0,6일 전
78,자주 애용하는 제품이에요,5.0,6일 전
79,간편하고 맛있어서 재주문한겁니다,5.0,6일 전
80,후회안하는맛입니다!!!!,5.0,6일 전
81,"맛있어요. 작은딸과 같이살고 있는데 고기반찬은 국률이죠~~
갈비는 처음주문인데 간도 맞고
야채넣어서 후라이펜에 구워 먹으니 신랑도 맛있다고 하네요.",5.0,6일 전
82,아이가 교정중이라 고기를 잘 못먹어요 근데 이 la갈비는 진짜 잘 먹습니다 그만큼 고기가 질기지 않아서 좋아요,5.0,6일 전
83,아이들도 잘 먹어요,4.5,6일 전
84,짭쪼롬달달맛있네요~~,4.0,6일 전
85,짜여..고기양도 두팩이나했는데 ..적고,4.0,6일 전
86,진짜 맛있게 먹었어요! 손님용 최고,5.0,6일 전
87,갈비 찜으로도 괜찮아요,5.0,6일 전
88,한끼맛나게먹었답니다~^^,5.0,6일 전
89,냉장고에서 해동하고 구워먹음 너무 좋아오,5.0,6일 전
90,그럭저럭 먹을만해요~~,4.0,6일 전
91,맛나게 잘 먹었습니다 강추!!!,3.5,6일 전
92,어머니랑 같이 먹었는데 너무 좋아하시네요~^^~,5.0,6일 전
93,찐 추천~~~~!!!!!,5.0,6일 전
94,너무 맛있게 잘 먹었습니다. 재구매하고 갑니다,5.0,6일 전
95,"LA갈비중에 최고인듯요
밥도 쓱쓱 아주맛있어요",5.0,1주 전
96,시아버지생신상 차린다고 처음 사봣는데 부드럽고 간세지않아맛있게잘드셨어요~,5.0,1주 전
97,엘에이갈비 한끼먹기딱좋아요,4.5,1주 전
98,늘먹던가라 맛있습니다,5.0,1주 전
99,누린내도 없고 맛있어요. 자주 구매 하고있어요.,5.0,1주 전
100,여러번 시켜먹었는데 맛있어요~ 식당가서 먹지 않아도 아쉽지 않아요,5.0,1주 전
101,넘 맛있어요..계속 재구매중ㅋ,5.0,1주 전
102,"자주 구매하는 LA갈비 입니다.
맛도 좋고, 고기도 좋고, 가족이 모두
맛있다고 해서 세일하길래 바로 구매했어요~",5.0,1주 전
103,자주 시키는 상품이에요 맛있어서 이틀후 바로 재구매해요 맛있게먹느냐구 사진도 멋찍었내요 다음엔 사진찍을게욧!!!!!,5.0,1주 전
104,배송빠르고만족합니다,4.0,1주 전
105,맛나유 ㅎㅎㅎ아이들도 잘 묵고,4.0,1주 전
106,항상 주문해요 가성비 좋아요,5.0,1주 전
107,좋아요 ㅎㅎ 좋아요 ㅎㅎ 네,5.0,1주 전
108,항상 주문해요 가성비 좋아요,5.0,1주 전
109,양이 정말 많고 간편하게 한 끼 해결했네요.,4.0,1주 전
110,가족들이 좋아해서 늘 시킵니다 ~~,3.5,1주 전
111,갈비 너무 맛있게 먹었어요 짱,5.0,1주 전
112,맛있어서 아이들이 잘 먹어요,5.0,1주 전
113,후기 남기기도 입아픈 갈뷔 ,5.0,1주 전
114,"양념맛이 넘조아요
완전 밥도둑이네요",4.0,1주 전
115,맛있어서 이 갈비만 사요..,5.0,1주 전
116,좀질기긴하지만 맛은좋아요,4.5,1주 전
117,계속 손이가는데 조금은 질기네요,4.5,1주 전
118,세번째 주문해 먹고있어요,5.0,1주 전
119,"맛있어요
명절에 동생들 보내주고
이번에 저도 맛보니 아주 맛있네요
잘 먹었어요",5.0,1주 전
120,전에 맛있게 먹어 다시 주문합니다,5.0,1주 전
121,"간이 적당한게 아이들이 진짜 맛있게
먹었습니다.",5.0,1주 전
122,너무 맛있습니다 강추입니다,5.0,1주 전
123,너무 맛있습니다 강추입니다,5.0,1주 전
124,아이가 너무 잘 먹어서 매번 시켜요~~,5.0,1주 전
125,맛나요~ 양념이 좀 많은 듯한 것이 아쉬움~,4.5,1주 전
126,진짜 몇번째 재구매인지..기름기가 많이 없다는게 아주 훌륭합니다,5.0,1주 전
127,"맛나요 맛나 말하 뭐합니까~
주기적으로 주문해서 먹어요~~",5.0,1주 전
128,맛있어요. 양념이 달지않고 짜지도 않고 누구나 좋아하는 맛입니다,5.0,1주 전
129,부모님이 좋아하셔서 재구매입니당,5.0,1주 전
130,"잘받았습니다.
빠른배송에 감사.
먹어보고 맛있으면 재주문 할께요.",5.0,1주 전
131,부드러운 고기에 맛난 양념이 일품!,5.0,1주 전
132,배송도빠르고 맘에들어요,5.0,1주 전
133,배송빠르고 잘 받았습니다ㅎ,5.0,1주 전
134,항상 맛있는 제품이예요,5.0,1주 전
135,"한끼 거뜬, 맛도 매장에서 먹는 맛이네요 좀더 쟁여두어야겠어요",4.0,1주 전
136,몇번째구매인지 어제도먹었네요 잘먹었습니다,5.0,1주 전
137,부모님께 보내드렸는데 좋아하십니다,3.0,1주 전
138,"역시,,..변함없이 맛있습니다",5.0,1주 전
139,역시맛있어서 또주문할께요. 맛있었어요,5.0,1주 전
140,가격은 다른대에비해 조금 비싼편이만 부드럽고 맛있어요.,5.0,1주 전
141,양도 정말 많았고 맛도최고였어요 잘 먹었습니다,4.5,1주 전
142,부모님 사드렸는데 맛있게 먹었어요!,4.5,1주 전
143,냉동실에 항상 떨어지지않게 하고있어요 맛있어서,5.0,1주 전
144,항상 맛있어요 재주문 100%,5.0,1주 전
145,"갈비 부드럽고 간이 세지않아 좋았어요.
맛있게 잘 먹었습니다 ~ 재구매 의사 100%입니다",5.0,1주 전
146,항삼 시키고 있어요~~,5.0,1주 전
147,항상 맛있게 잘 먹고있어요,5.0,1주 전
148,늘 맛있게 먹는 제품이라 또 주문했습니다,4.0,1주 전
149,완전추천합니다 몇번째 구입해요 간이 세지 않아서 푹 끊여도 짜지 않네요 양은 성인 2인~3인 정도라 두팩은 있어야 할듯요,5.0,1주 전
150,윙잇에서 사는 고정템입니다. 간도 쎄지.않고 기름고 과하지 않고 두께랑 딱.적당합니다.,5.0,1주 전
151,5번째구매에요 너무맛있음!,5.0,1주 전
152,양념이 풍부해서 좋구여 양도 많구 부드러워서 잘 먹었습니다!! 대박 1위 상품,5.0,1주 전
153,너무달지 않아 좋아오ㅓ,4.0,1주 전
154,"송주불냉면이랑 같이 먹으니,최고",5.0,1주 전
155,양념도 맛있고 양도 많아요,4.0,1주 전
156,"처음 두번째 세번째까지는 맛이 그대로였는데
점점갈수록 고기질이 달라졌네요
맛있는거는 같이먹고싶어서 지인들나눠주고 했는데
이번에도 오랜만에 하나만 시켜봤어요
또 실망하면 주문안하려고요",3.0,1주 전
157,아주좋아요 아주좋아요,4.0,1주 전
158,"냄새도 안나고 너무 맛있네요
육질도 부드러워요",4.5,1주 전
