,reviews,ratings,days
0,맛있습니다 재구매 의사있음,5.0,1시간 전
1,간단하게 먹기좋고 저같은경우는 고기를 좋아하다보니 계속 시켜먹네요. 간도 딱맞고 너무 맛나게 먹습니다,5.0,2시간 전
2,맛있게 먹었습니다!,5.0,5시간 전
3,"다서번째 재 구매 하엿음 정말 맛있어요
딱 일인분이네요",5.0,6시간 전
4,"비계가 많아요,,냄새나요,, 양이 적어요,, 세일할때사서 정말 다행이에요,, 돈 조금 더 주고 고른꺼 드세요",0.5,14시간 전
5,가성비 끝판왕 잘먹었어요,4.0,1일 전
6,많이 질기지도 않고 맛있었습니다!,5.0,1일 전
7,아이 자취방에 보내줬는데 잘 먹었다하네요,4.0,1일 전
8,"양녕은 괜찮은데, 고기가 질기네요..",2.0,1일 전
9,고기가 질기지 않아 좋아요,4.0,1일 전
10,양이 좀 작긴한데 양념도 맛있구 맛있게 먹었어용,5.0,2일 전
11,양이 좀 작긴한데 양념도 맛있구 맛있게 먹었어용,5.0,2일 전
12,조금 질겨서 아쉬워요 정가로 샀으면 아까웠을듯,3.0,2일 전
13,약간 질기지만 얇고 비계양도 적당해요,4.5,2일 전
14,세일할때 샀어요 맛있네요,5.0,2일 전
15,세네번 재구매하는거 같아요 가격대비 괜춘,3.5,2일 전
16,이미 세번째 시켰어요 할인하면 무조건 사세요,5.0,3일 전
17,"안짜고 맛있어요
두 식구 반찬으로 먹을양이에요~",5.0,3일 전
18,행사가격에 구매했어요,3.0,4일 전
19,이건 매번재구매!! 10번째시키는거같아요 ㅋㅋㅋ,5.0,4일 전
20,맛있어요.혼자먹기 딱 좋아요.,5.0,5일 전
21,소보키 굿 기사님 배송,4.0,5일 전
22,맛있어요. 감사합니다,4.0,5일 전
23,가성비 좋은 제품입니다,3.0,5일 전
24,자주 세일해서 구매완료,4.0,5일 전
25,세일하면 구매합니다,5.0,5일 전
26,양념적당하고 맛있습니다,5.0,5일 전
27,"늘 먹던 갈비말고 신상구매해 보았는데맛은 역시 달달, 아이들이 좋아합니다. 양은 1인분이네요 ㅜ",4.0,5일 전
28,맛있게 잘 먹겠습니다~^^,4.0,5일 전
29,아이들과 한끼 맛있게 잘 먹었습니다!,4.0,5일 전
30,"저렴하게 구입했습니다
혼자먹기에 좋아요",3.0,5일 전
31,아직 안먹어봤어요 맛있게 먹을께요,5.0,5일 전
32,세일해서 구매해봤는데 고기가 좀 질겼어요~~,3.0,6일 전
33,냄새날까봐. 걱정했는데. 행사상품이라. 너무너무 맛있게 잘먹었읍니다 종종 해주세요,5.0,6일 전
34,단짠단짠 갈비 맛있고 가성비 괜찮습니다,5.0,6일 전
35,너무맛있어서 재구매햇어요,5.0,6일 전
36,살짝 양은 작은데 달달하니 먹을만 합니다,4.5,6일 전
37,다음에 또 구매하려고합니다,5.0,6일 전
38,너무 맛있네요,5.0,6일 전
39,제가 La갈비를 좋아하는데 양념 하나하나사서 재료손질하고 먹으려면 적어도 2일씩은 걸리는데 간편하게 바로먹을수있어 좋아요,5.0,6일 전
40,맛있게 잘먹었어요~~~,5.0,6일 전
41,아이들이 la갈비 좋아해서 주문했어요~고른만 먹다가 처음인데 기대되네요,5.0,1주 전
42,간도 딱 적당하고 고기도 연하고 맛있어요,4.0,1주 전
43,"양념이 과하게 짜지도 달지도 않게 맛있습니다
양은 1인분 정도인것 같네요",5.0,1주 전
44,"선착순특가로 2.900원에 주문해서 잘 먹었습니다.
사진에 보이는 게 한 팩 다 구운 양이에요.
중학생 아들이 혼자 다 먹고 부족하다고..ㅋ
한조각 먹어봤는데 간이 세지 않고 양념은 맛있었어요.",4.0,1주 전
45,특가로 싸게 잘 먹었어요.,4.0,1주 전
46,"할인해서 사봤는데 고기에서 누린내가 많이 나고 뼈부분 뜯다보면 잔뼈가 조각조각 많이 나서 먹기 힘들었어요ㅠ
상세설명을 보니 고기가 호주산이네요..그래서 더 누린내가 난듯...가격이 좀 더 비싸도 미국산이 맛있긴한듯;;저는 담에 또 할인한다고 해도 재구매 안할듯요ㅠ",0.5,1주 전
47,항상 주문해요 가성비 좋아요,5.0,1주 전
48,항상 주문해요 가성비 좋아요,5.0,1주 전
49,항상 주문해요 가성비 좋아요,5.0,1주 전
50,일단 잘받았구요~주말에 먹어보고 애기해 줄께요~~^^,5.0,1주 전
51,아직 먹어보진않았지만 냉장고에 있으니 든든하네요,5.0,1주 전
52,"어머니가 고령인데 요리 후 작게 썰어 드리니 부드럽고 맛있다고. 드시니 다시 주문해 드려야겠어요
감사합니다",5.0,1주 전
53,맛있게 잘 먹었습니다 감사합니다,5.0,1주 전
54,맛있게 잘 먹었습니다 감사합니다,5.0,1주 전
55,선착순특가로 싸게 잘 샀어요,5.0,1주 전
56,양녕이적당히잘베여있어맛있어요,5.0,1주 전
57,저렴하게 잘샀어요 식구들이 육류 좋아하는데 맛있게 잘먹을게요,4.0,1주 전
58,잘받았습니다 아이가 좋아해요,5.0,1주 전
59,가끔 시켜먹는데 고기가 질기지않아서 좋아요,3.5,1주 전
60,감사합니다 잘 전달받았습니다,5.0,1주 전
61,"양이 적어 아쉬운데
맛있어요
흰밥에 갈비는 마시써요",4.0,1주 전
62,아이들이 잘먹네요 좋아요 ㅋ,5.0,1주 전
63,2번째 주문합니당 ㅎㅎ,5.0,1주 전
64,너무 달지도 짜지도 않아 좋아요,4.5,1주 전
65,가성비 굿 굿 맛있네요 ^^,5.0,1주 전
66,빠른 배송 감사합니다 ~~~,3.5,1주 전
67,맛있게 잘먹었어요..,5.0,1주 전
68,너무 짜지도 않고 적당한 간에 고기도 쫄깃하고 맛나게 잘 먹었습니다. 간편하게 굽기만하면 되니 좋네요.,4.5,1주 전
69,"냉동냄새가 얙간남니다~ 불향이없어 별삭감, 고기가 질겨요~ 삭감, 고기간은 단맛도 적당 짜지는 않아 존네요~ 아쉬워요~",3.5,1주 전
70,부모님 사드럈더니 너뮤 맛있게 잘먹었다고 하시네요,4.5,1주 전
71,밥한끼 먹기에 딱딱 조아요 ㅋㅋㅋ ~~~~~~~~~,4.0,1주 전
72,달달한게 맛좋아요~~,5.0,1주 전
73,맛있어요 살짝 짜긴 했지만~~~~,4.0,1주 전
74,자작하니 양념 맛있어요,5.0,1주 전
75,Good~~~~~~~~~~~~,4.5,1주 전
76,늘 먹는 에레이갈비!! 야채 많이 넣고 꾸버먹어야함,5.0,1주 전
77,너무 맛있어요 또살께요^^,5.0,1주 전
78,갈비 400g이 생각보다 얼마 안돼요 1인분,5.0,1주 전
79,조금만 싱거우면 좋겠다,2.5,1주 전
80,양이 작은편이라서 조금 아쉬움이 남네요,2.5,1주 전
81,맛있어요 재구매의사 있어요,4.0,1주 전
82,양념도 달달하고 기름기도없고 맛도관찮앙노,4.0,1주 전
83,엘에이갈비를워낙조와하는데요^^혼자먹기좋습니다,5.0,1주 전
84,"다들 맛있다고 하시는데ㅜㅜ
저는 한개먹는데 냄새가 너무심해서 못먹고 버렸네요
다는 아니지만 3~4개정도 냄새 너무심해요ㅜㅜ",0.5,1주 전
85,맛있게 잘먹었습니다,4.5,1주 전
86,여기 알바분들많나보네요~~후기보고3팩구매했는데 LA갈비는 웬만하면 실패할확률이정말적은데 대체양념을어떻게한건지 궁금할정도네요.. 진짜웬만하면 댓글안남기는데 진짜 먹어본LA갈비중 최악이라 댓글남깁니다,0.5,1주 전
87,"맛있어요^^
아이랑 한끼식사로 괜찮아요
또 주문 예정입니다!!!",5.0,1주 전
88,"이 가격에 이 야의 갈비를?
굿굿굿",5.0,1주 전
89,좋아요 좋아요 좋아요,5.0,1주 전
90,"넘 맛나게,먹었어요~ 잡내도없고 냄새는 불고기향이 넘 존네요~ 고기가 간도 딱좋아요~ 단잔이네요~ 짱입니다~",5.0,2주 전
91,맛있게 잘 먹었습니다,5.0,2주 전
92,너무 맛있어요~~~~~~~~~,5.0,2주 전
93,맛있네요~~~잘샀어요~~~,5.0,2주 전
94,너무 맛있어요~~~!!,5.0,2주 전
95,너무 맛있어요~~~!!,5.0,2주 전
96,"밥한공기 뚝딱
질먹었시요",5.0,2주 전
97,고기가 너무 질겨요,3.0,2주 전
98,재구매 좋아요 재구매 좋아요 재구매 좋아요 재구매 좋아요,5.0,2주 전
99,맛있어서 계속 주문합니다,5.0,2주 전
100,맛있어요. 할인할때 재구매 예정합니다.,4.5,2주 전
101,맛있어요 양념도담백해요,5.0,2주 전
102,맛있게 먹었어요ㅎㅎ,5.0,2주 전
103,"2팩 사서 구워먹었습니다.
중불에서 졸이듯이 구우니까 손도 많이 안가고 좋았어요",5.0,2주 전
104,"괜찮아요 
다음에도 또 먹고 싶내요",5.0,2주 전
105,포장상태도 좋고 맛있을것같아요,4.5,2주 전
106,양념 다 넣으면 좀 짜요.,3.0,2주 전
107,집에서 먹는 간단식 갈비 강넝비 좋고 맛있어요,3.5,2주 전
108,"배송은빠르게잘받았지만고기는약간질기고기름이좀많은것같아요.
참고로간마늘.미림.청량고추.고추가루첨가해서믁으면조금나은것같아요.",3.0,2주 전
109,"뜨끈한 밥에 LA갈비 구워서 먹을까 싶어서 샀어요-
아무래도 푸짐하게 먹으려면 두팩은 해야겠지만 밥 반찬 정도로 생각하면 두명이서 적당하지 않을까 싶어요~",5.0,2주 전
110,맛있게 잘 해먹었습니다,4.0,2주 전
111,양 적고 약간 질기네요.,4.0,2주 전
112,기름이. 너무. 많아요ㅠㅠ,3.0,2주 전
113,양념갈비 맛이 없을수가 없져 굿,4.0,2주 전
114,가끔 먹는데 늘 잘먹어요,5.0,2주 전
115,가격은오르고 퀄은똑같고,3.5,2주 전
116,"간편해서 좋고 
맛있어서 좋고 
좋아요~~",3.5,2주 전
117,맛있게 잘 먹었습니다 수고하셨습니다,2.5,2주 전
118,포장 깔끔하고 너무 맛있어서 계속 구매해서 먹고있어요,5.0,2주 전
119,늘 먹는 ...세일때 쟁여놔요!,5.0,2주 전
120,혼자 푸짐하게 먹을수있는 양이에요~! 맛있어요,4.0,2주 전
121,처음 주문인데 맛있으면 또 주문할께여 ㅎ,4.5,2주 전
122,소보키갈비 맛있어요,3.5,2주 전
123,맛있어요번창하세요ㅎㅎ,5.0,2주 전
124,"너무질기고 그래요 ..
양념맛은 괜찮은데 ..",1.5,2주 전
125,항상 맛있게 먹고 있어요~~~^^,4.0,2주 전
126,양념 엘에이갈비 좋아요,5.0,2주 전
127,정말맛있습니다 적근추천,5.0,3주 전
128,상품 포장이 고급스러워요,5.0,3주 전
129,남편이 LA갈비 좋아해서 주문했어요 저녁이 바로 구워주려구요,5.0,3주 전
130,아이 밥줄때 한끼 식사용으로 제격이예요.,5.0,3주 전
131,딸아이 자취방에 보내줬는데 맛있다네요,5.0,3주 전
132,정말 맛있어요 양이 부족한게 유일한 단점이지요 ㅎㅎ,5.0,3주 전
133,항상 구매하는 갈비 ㅎㅎ 간편하고맛잇습니닽,5.0,3주 전
134,후기 좋아서 구입했는데 그냥 그랬어요…,4.0,3주 전
135,먹고 다시재주문 했읍니다. 내. 입맛에는. 맞읍니다감사합니다,4.5,3주 전
136,"맛잇어요
고기좋아하는.딸 좋아합니다",4.0,3주 전
137,아직먹어보진않았지만 믿고 잘먹어볼께요,4.0,3주 전
138,맛있는데 양이 진짜 적다… ㅋㅋ,3.5,3주 전
139,질기지도 않고 양념도 맛있어요,5.0,3주 전
140,명절에 맛나게 잘먹었어요,4.0,3주 전
141,너무 달아요..고기냄새도 좀 나고..내몸이 설탕에 절여진느낌,1.5,3주 전
142,맛있어요 한끼대용 좋아요,5.0,3주 전
143,"편안하게, 맛있게",5.0,3주 전
144,질기지 않고 맛있어요. 양념도 굿!,4.0,3주 전
145,생각보다 더 맛있어요,3.0,3주 전
146,양념이랑 다같이 구워먹으니깐 맛있어요,5.0,3주 전
147,양념은 맛있는데 너무 질겨요 남편이 고무 씹는것 같대요ㅜㅜ,0.5,3주 전
148,비계도 없고 질기지도 않고 맛도 뭐~이정도면 괜찮을 정도면 맘에 들어요,4.5,3주 전
149,양념 역시 최고! 맛있어서 밥도 볶아먹었네요 추천이요~,5.0,3주 전
150,단맛이 조금만 빠지면 맛은 정말 괜찮아요~ 으ㅗㄴ자먹기 딱좋은 양이 맘에 드네요~~,3.5,3주 전
151,,5.0,3주 전
152,"냄새나요
먹다 버렸음",2.5,3주 전
153,아직 먹어보지 않았지만 평이 좋아 구매해봅니다,5.0,3주 전
154,"조금 질긴 부분이 있긴 했으나, 양념이 잘 베어 맛있게 먹었어욥",3.5,3주 전
155,"어헛 혼자 한팩 먹기 좋고 많이 달지 않아서 제입맛에는 괜찮았어요
잘 먹었습니다~~",5.0,3주 전
156,아이들이 좋아하는 맛이에요,4.0,3주 전
157,방학기간동안 아이 식사 잘 해결했어요.,4.5,3주 전
158,LA갈비 맛있어요,5.0,3주 전
159,숯불에 구워먹으니 맛나요,5.0,3주 전
160,잘 구워 먹으니 맛있어오,5.0,3주 전
161,늘 쟁여놓고 반찬없을때마다 편하게 먹어요.,5.0,3주 전
162,단짠 단짠 너무 맛있고 좋아요. 양념이라 조리후 후라이팬 설겆이가 조금 힘들어요.,5.0,3주 전
163,이거 진짜 자주 시켜 먹고있어요!,5.0,3주 전
164,적은 양이라 한끼 먹기에 좋아요,5.0,3주 전
165,이번것 맛있다하셔서 또 재주문하려고 넣어뒀어요,5.0,3주 전
166,"맛있어요, 아이들이 좋아합니다 ㅎㅎ",5.0,3주 전
167,가격대비 만족합니다,3.5,4주 전
168,"양은 조금 작은듯한데 맛은 있어요
깔끔하게 먹기 좋아요",5.0,4주 전
169,자주 먹던 갈비가 품절 되어서 이걸로 시켰는데 약간 냄새도 나고 질기고 그랬습니다 ㅠ,1.0,4주 전
170,양념이 맛있는데 고기는 약간 질긴느낌...그래도 맛있게 먹었어요,4.0,4주 전
171,항상 쟁이고 자주 구매하는 제품이에요.양념도 달달하긴하지만 맛있어요,5.0,4주 전
172,식구드리 잘먹너요,5.0,4주 전
173,좋네요,5.0,4주 전
174,정말 맛있어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4.0,4주 전
175,세일이라서 냉동실에 쟁여놓았는데 맛잏겟죠.,5.0,4주 전
