,reviews,ratings,days
0,좋ㅇ앙ㅅ 좋ㅇㅏㅇ요 에어팟3세대 한짝 날려먹어서 이참에 프로2로 갈아탔는데 노이즈캔슬링 신세계네요 아주 좋아요 좋아 좋아 아주 좋아~,5,2024.03.15
1,"Apple 2023 에어팟 프로 2세대 USB-C 블루투스 이어폰 리뷰드디어 꿈에 그리던 에어팟 프로 2세대를 구매했어요! 배송이 너무 빨라서 정말 놀랐어요. 오전에 주문했는데 오후에 바로 도착했거든요. 회사에서 시켰는데 저보다 집에 먼저 도착했지 뭐예요ㅎㅎ저는 이전에 에어팟 1세대를 사용했는데, 고장나서 새 이어폰을 고민하다가 에어팟 프로 2세대를 구매하기로 했어요. 에어팟 1세대도 좋았지만, 에어팟 프로 2세대는 그야말로 노이즈 캔슬링의 신세계를 보여주는 제품이었어요.지하철이나 버스를 타고 있을 때 주변 소음이 거의 들리지 않아서 정말 편안하게 음악을 들을 수 있었어요. 음질도 에어팟 1세대보다 훨씬 좋아졌고, 3D 오디오 기능은 마치 영화관에 온 것 같은 몰입감을 선사했어요.아직 에어팟 프로 2세대를 사용하기 시작한 지 얼마 안 되었지만, 지금까지는 정말 만족스러워요. 앞으로도 계속 사용하면서 더 많은 장점을 발견할 수 있을 것 같아요.장점:빠른 배송뛰어난 노이즈 캔슬링 기능향상된 음질몰입감 있는 3D 오디오 기능단점:초큼 비싸지만 비싼값을 한다(역시 돈이 최고..)특별히 없음총평:노이즈캔슬링 최고....!!!!!!!",5,2024.03.15
2,에어팟 2세대 쓰다가프로2로 넘어왔는데신세계네요잘 쓰겠습니다,5,2024.03.15
3,"⭐️내돈 내산후기⭐️에어팟3 사용하다가 에어팟 프로2 구입했어요제가느낀 솔직한 리뷰 작성해볼게요 ㅋㅋㅋ물론 가격도 에어팟 프로2가 더비싸지만에어팟3에는 없는기능! 바로 노이즈캔슬링 기능때문에구매했어요.아무래도 버스,지하철등등 시끄러운장소에선 노이즈켄슬링최고입니다! ㅎ ㅎ 내가 그냥 드라마속 주인공이 됨. .에어팟 3와 에어팟 프로 2의 주요 차이점! 요약⚫️디자인에어팟 3는 에어팟 프로 2에 비해 더 전통적인 에어팟의 디자인을 가지고 있어요 ㅎㅎ반면, 에어팟 프로 2는 더 작고 컴팩트한 인이어 디자인을 가지고 있으며 귀에 더 편안하게 착용할 수 있습니다.하지만 실리콘을 캡을 착용해야 하는 불편함도 있죠!⚫️노이즈 캔슬링에어팟 프로 2는 액티브 노이즈 캔슬링(ANC) 기능을 제공하는데 이게 주요 기능이죠 ㅎㅎ이 기능은 주변 소음을 효과적으로 차단하여 음악이나 통화 중에도 조용한 환경을 유지할 수 있도록 도와줍니다. 에어팟 3에는 이 기능이 없습니다.ㅜㅜ그래서 제가 프로2 구매한 이유!⚫️사운드 품질에어팟 프로 2는 에어팟 3보다 더 향상된 사운드 품질을 제공해요~ 아무래도 더 비싸고 이후 출시라서그런가. .풍부하고 깨끗한 음질을 즐길 수 있으며, 특히 에어팟 프로 2의 액티브 노이즈 캔슬링 기능은 외부 소음을 차단하여 음악을 더욱 몰입적으로 감상할 수 있도록 도와줍니다!⚫️방수 기능에어팟 프로 2는 더 높은 방수 등급(IPX4)을 가지고 있어 땀이나 비 등의 간단한 액체에도 더 잘 견딜 수 있습니다. 에어팟 3는 이와 달리 방수 기능이 없으므로 주의가 필요합니다.ㅜㅜ 조심해야되요⚫️가격에어팟 프로 2는 에어팟 3에 비해 비교적 높은 가격대에 위치하고 있습니다.자세한 가격은 못적게 되어있네요 ㅎㅎ몇만원 차이납니다!에어팟 프로 2는 고급 기능인 액티브 노이즈 캔슬링과 향상된 사운드 품질을 제공하기 때문에 가격이 높게 책정되었습니다.비싼데는 이유가 다~ 있죠,. .이상이 에어팟 3와 에어팟 프로 2의 주요 차이점입니다⭐️제 글이 도움 되셨으면 도움버튼 꾹 눌러주세요⭐️",5,2024.03.15
4,오랫동안 오픈형 이어폰만 애용하다가에어팟2 고장나서 새로 샀어요근데 기대가 많았던건지10분 이상 사용하면 귀에 통증도 심하고 연결 오류가 너~~~무 잦아서 사용하기 매우! 불편하네요편하려고 산 이어폰인데연결이 계속 끊겨서 좀 짜증납니다그리고 통화 음질도 별로에요상대방에 계속 목소리 안 들린다고 하네요ㅠ그전에는 이런 적 없었는데....,3,2024.03.14
5,타사이트 가격 비교해보고 쿠팡이 가장 저렴해서 구매했습니다.제품은 두말할 나위 없습니다^^,5,2024.03.14
6,"이 후기는 내.돈.내.산 직접 구매 후 사용한 후기입니다.>구매이유프로1 구매 후3년정도 사용하고나니 어느순간 충전이 되지 않더라구요이게 본체(케이스)문제인지, 콩나물이 문제인지 모르겠어서수리 알아보니 어후,, 꽤 비싸더군요 그돈이면 그냥 새거 사는게 낫겠다 싶어 강제로(?) 프로2 구매하게 되었습니다.훼손되지 않도록 뽁뽁이로 둘둘둘 말아서 포장해주셔서 안전하게 받았어요! 정품확인도 해보니 정품이 맞습니다 >프로 1, 2 달라진 점- 충전단자충전단자가 8핀에서 c타입으로 바뀌었어요! 이번에15프로맥스로기기변경 하며 핸드폰도 충전 단자가 바뀌어서개인적으로 c타입으로 바뀐 프로2가 충전하기 편해 좋습니다.-에어팟 본체 스피커이전에는 에어팟찾기를 하면 이어버드에서 소리가 나기에잘 들리지도 않았는데, 이번엔 아예 본체에 스피커가 있어찾기도 쉽고 충전할 때 또롱 하는 소리가 귀엽습니다 ㅎ 맘에듬-강력해진 노이즈캔슬링, 추가된 적응형 오디오프로1 버전보다 확실히 노이즈캔슬링이 좋아졌어요. 가만히 앉아 노래틀고 귀에 꽂고 있으면 혼자 딴 세상에서노래듣고 있는 기분이 들 정도입니다.-터치제어핸드폰이 없어도 콩나물에 슬라이딩하여 음량조절하는 기능정말 좋습니다. 은근히 편리합니다.-다양한 이어팁사이즈기본 m사이즈로 탑재되어 제품이 나오며, 총 4개의 사이즈로나와서 나와 가장 잘 맞는 사이즈로 사용할 수 있어서 좋습니다.결론적으로 디자인부분에서 크게 달라진 점은 없어요.외관상 변경된 부분은 충전단자, 터치제어, 본체스피커, 키링성능부분에 있어서 만족합니다. 물론 프로 1세대도 좋은 성능이라업그레이드를 위해 구매를 고민하신다면 비추천! 새로 구매하시거나, 저처럼 수리와 구매를 고민하신다면에어팟 프로 2세대 강추합니다. 최고!",5,2024.03.14
7,충전이 잘 안 돼요 ㅠㅠㅠ,5,2024.03.14
8,정품이고 하루도 안돼서 도착해서 좋았습니다!쿠팡에서 자체적으로 조금 할인 들어갈 때가 있는데그때 조금이라도 저렴하게 구매해서 좋았습니다:),5,2024.03.14
9,"▶ 내돈내산 리뷰입니다▶ 에어팟 1,2 / 에어팟 프로1,2 를 모두 사용해봤습니다▶프로가 아닌 일반 모델은 배터리 성능이나 여러면에서 2년정도 쓰면 한계가 느껴집니다.배터리가 순삭되고 페어링이 끊기는 현상이 발생하더라구요프로 1은 2년 이상도 사용이 가능합니다 (현재 사용중)▶ c타입이 된다는 것이 제 생각 가장 큰 장점 충전기를 종류별로 모으고 있는 기분이 들어 하나씩 바꾸고 싶다는 생각을 했습니다.▶ 사실 에어팟을 제 리뷰를 보고 구매한다는 생각은 안합니다.귀여운 케이스 샀으니 구경하고가세요",5,2024.03.14
10,에어팟 자주 사용하고 오래 쓸 수 있어요!배송도 빠르고 음성 분리와 노이즈 캔슬링도 잘되니오래 쓸 수 있고 정말 만족합니다!,5,2024.03.14
11,"최근에 구매한 Apple의 2023 에어팟 프로 2세대를 사용해보니, 이전 모델과 비교해서도 확연히 향상된 경험을 제공합니다. 첫 인상부터 매우 긍정적이었습니다. 제품의 디자인은 깔끔하고 세련된 화이트 컬러로, Apple의 미니멀리스트 디자인 철학을 잘 따르고 있습니다.소리의 질에 있어서는, 이 에어팟 프로 2세대는 정말 놀라울 정도로 명확하고 깊은 사운드를 제공합니다. 특히, 고급화된 노이즈 캔슬링 기능 덕분에 주변 소음을 거의 완벽하게 차단하면서도 음악이나 팟캐스트를 선명하게 들을 수 있습니다.USB-C 포트로의 전환은 이 제품의 또 다른 큰 장점입니다. 이는 사용자가 다른 Apple 기기들과 호환성을 높이면서도 보다 널리 사용되는 충전 방식을 사용할 수 있게 해줍니다. 블루투스 연결 역시 매우 신속하고 안정적이어서, 연결 문제에 대한 걱정을 크게 줄여줍니다.배터리 수명은 상당히 인상적입니다. 한 번의 충전으로 길게는 하루 종일 사용할 수 있으며, 이는 바쁜 일상 속에서도 음악을 즐기거나 중요한 통화를 놓치지 않기에 충분합니다.이 제품을 사용하면서 느낀 점은, Apple이 사용자 경험을 극대화하는 데 있어서 정말 뛰어난 노력을 기울였다는 것입니다. 가격이 조금 비싸긴 하지만, 그 가치를 충분히 하는 제품이라고 생각합니다. 음악 애호가든, 바쁜 일상을 보내는 전문가든 간에, 이 에어팟 프로 2세대는 강력한 성능과 편리함을 제공합니다.",5,2024.03.14
12,이게 또 야물딱짐,5,2024.03.14
13,불량이 왔습니다유선 충전 하면 충전 할 때 나는 띵- 하는 소리가 3초에 한번씩 계속 납니다워치 충전기나 무선충전은 소리 한번만 나서 그냥 씁니다,4,2024.03.14
14,뚜껑 흔들리디만 귀찮아서 그냥 쓰려구요..ㅎㅎ하하,3,2024.03.13
15,그냥 가격대비 넘 비싸다 정도,5,2024.03.13
