,reviews,ratings,days
0,아직 3월 다 가지도 않았는데 24년 3월 제품이라니 감사합니다제품 받자마자 기기 등록했고 너무 잘 사용하는 중입니다이어폰 바꾸고 싶어서 몇달을 들락날락하면서 고민했는데 고민한 시간만 아까웠네요ㅋㅋㅋ 솔직히 좀 비싸다고 생각했는데 에어팟 몇년째 쓰는 친구들 보면 지속성도 괜찮은것 같고 노이즈 캔슬링은 진짜 신세계에요,5,2024.03.19
1,4년동안 사용하던 에어팟이 고장나서 새로 구매하게되었어요. 며칠되지 않았지만 아직까지 문제없고 만족합니다. 가격이 비싸서 망설이다 구매했지만 저렴해 졌으면 좋겠습니다. 너무 비싸요.,5,2024.03.18
2,배송이 정말정말 빨랐어요!제품도 새제품 그리고 상태도 너무 좋아요,5,2024.03.18
3,처음 노이즈캔슬링 접한 사람으로써 노캔 기능은 정말 행복이라고 느껴집니다 주변 소리가 많이 차단되다보니 힘든 출근길 음악이나 좋아하는 예능 등을 집중하면서 볼 수 있어서 좋더라구요~!그래서 조금 비싸지만 정말 투자 가치가 있다고 생각됩니다.,5,2024.03.18
4,"배송, 포장 모두 좋아요사용결과 만족합니다.",5,2024.03.18
5,아이가 명절에 용돈 받은거로 구매했는데 아주 만족해 합니다.,5,2024.03.17
6,역시 믿고 쓰는 애플인가봅니다 살때는 가격이 너무 문제였는데 막상 사용하다보니 가격이 왜 비싼지 일거 같은 그런 느낌이네요,5,2024.03.17
7,제품이랑 박스에 문제는 없었는데 그래도 포장이 부실한편이긴 하네여ㅠ,4,2024.03.17
8,프로라 노이즈캔슬링되는거 넘나 좋아요~~~!!,5,2024.03.17
9,ㅇㅇ 긴말필요없습니다,5,2024.03.17
10,사용하니 정말 잘 샀다는 생각이 드네요~!노이즈캔슬링 예술입니다.운동하며 듣는데 운동 효과가 2배~!집중도가 장난아니네요~~!강추합니다.후회가 남네요~~~~!진작 살걸하는 후회가 남네요~~!,5,2024.03.17
11,2세대 4년넘게 쓰다가 가격이 비싸서 살까말까 고민하다가 샀는데 조아요~,5,2024.03.17
12,에어팟 프로1보다 훨씬 좋네요.노캔할때 전처럼 귀가 먹먹하지 않아요.충전 c터입이라 좋아요.음질도 좋아져서 안 들리던 소리도 들려요.정말 좋습니다.제 값 하네요.,5,2024.03.17
13,노이즈캔슬링이 필요해서 사는김에 마침 아이폰을 사용중이라 같은 회사 제품인 아이팟 프로를 구매하게 되었습니다노이즈캔슬링을 켜면 지하철이나 도로에서도 웬만한 소음을 잡아줘 마치 방 안에 있는 듯한 느낌을 받을 수 있었어요여기에 음악까지 들으면 그야말로 나만의 세계에 빠져듭니다신기한 점은 케이스가 자체적으로 보조배터리 역할을 해줘 이어폰 배터리가 낮아도 케이스에 넣어놓으면 충전이 된다는 점이 저에게는 엄청난 장점으로 느껴졌습니다여기에 추가로 제품 구매시 애플뮤직 6개월 무료 체험을 제공하기 때문에 그야말로 일석이조였네요정품인증도 잘 됩니다제품 상자 옆면 한쪽이 너무 더러워 의심스러웠는데 다행이도 가품은 아니었습니다아이폰에 노이즈캔슬링이 필요하다면 이 제품 추천드려요,5,2024.03.16
14,딸이 예전부터  갖고 싶어했는데 입학선물로 사줬어요 잘사용할께요~,5,2024.03.16
15,배송도 빠르고 제품도 좋고 다 좋은데 처음 받으면 에어팟에서 냄새가 조금 나요. 뭐 쓰다보면 자연스럽게 없어지기야 하겠지만 좀 거슬리는건 사실이네요. 그래도 이 점만 빼면 정말 만족스럽습니다! 무엇보다 정품이구요.,4,2024.03.16
16,충전기가 불량인거같은데요…?? 당황스럽네요 ㅠㅠ 30만원 주고 샀는데,1,2024.03.16
17,대만족입니다.,5,2024.03.16
18,하자문제 없이 잘 작동되구요!6개월 노래까지 잘 쓰고있습니다^^,5,2024.03.16
19,어차피 성능은 보장된 제품이지만 배송은 익일 배송으로 특별히 만족 스러웠습니다,5,2024.03.16
20,노이즈 캔슬링 그냥 미쳤.. 어요 진짜 ㅠ진즉살걸 ㅠㅠ,5,2024.03.16
21,"3월15일인데 3월제조 된 것으로 보내주셨네요.신선한 제품 감사합니다. 노이즈캔슬링 쓰면 신세계라고 해서 구매해봤어요. 원래 오픈형도 만족하고 있었어서 3세대 사려다, 저도 신세계 한번 체험해 보자 싶어서요 ㅎㅎ 솔직히 갠적으로는 신세계 까지는 아니구요, 음질에 만족합니다. 보통은 이어폰을 산책할때 사용하는 편이라 주변음 허용으로 많이 쓸것 같아요. 한국은 위험하게시리 사람다니는 인도로 따릉이 자전거들이 다니잖아요 ㅠ 따릉거리면 피해줘야 해서.. 잘 쓸게요. 감사합니다.",5,2024.03.15
22,헤드셋을 주로 쓰다가 부피도 많이 차지 하고 귀를 누르는 장력이 답답해 에어팟 프로를 구매했습니다. 생각보다 프로도 착용감이 좋네요 :),5,2024.03.15
23,와우 신세계네요늘상 유선이어폰만 쓰다가 무선?워낙 잘 잃어버리고 다녀서 ... 잘 챙겨 다닐수 있을까 하는 불안감에 ㅋ한두푼 하는거도 아닌데 싶어 미루다가요결국 사버림사야 낫는다죠아이팟3부터 프로1까지 고민하다가결국 프로2 사게되었네요노이즈캔슬링 도대체 뭔데?!웅장하네요 ㅋㅋㅋ혼저 온전히 소리에 집중할 수 있어요주변 소음차단하고 공간음향도 넘 좋고요돈 들인 보람이 있네요왜 그동안 고민했는지 몰라요고민한 시간이 아깝구요영화보다가 전화받는거페어링등등 뭐하나 걸림돌이 없네요애플유저라면 강추 ㅋ자 이제 잃어버린 워치를 찾으러ㅋ,5,2024.03.15
24,"아이폰 사용한지 7년째,, 에어팟이 나온 이후로 2세대만주구장창 써오다가 이젠 세월에 맛이가서 프로3으로 교체했습니다✨빠른 페어링, 빠른 블루투스 연결 ✨노이즈캔슬링 ,,진짜 미쳤음 처음엔 멀미나는가 했는데점점 익숙해졌음 근데 신호건널때나,비보호 구역에선 조심하는편✨에어팟 낀채로 소리조절가능 엄지로 잡고 부드럽게 위아래 쓸면 소리조절이 가능하더라구요!!✨총 4가지 모드가있는데 에어팟 낀채로 꾹 누르면 모드도 변경 가능하더라구요..이것도 신세계✨깔끔한 디자인, 편안한 에어팟 추울때 에어팟없이 전화도 힘들고 그렇잖아요이젠 진짜 에어팟없인 안됩니다..선물용으로도 강추합니다 내돈내산 끄적끄적 해보네요",5,2024.03.15
25,좋ㅇ앙ㅅ 좋ㅇㅏㅇ요 에어팟3세대 한짝 날려먹어서 이참에 프로2로 갈아탔는데 노이즈캔슬링 신세계네요 아주 좋아요 좋아 좋아 아주 좋아~,5,2024.03.15
26,"Apple 2023 에어팟 프로 2세대 USB-C 블루투스 이어폰 리뷰드디어 꿈에 그리던 에어팟 프로 2세대를 구매했어요! 배송이 너무 빨라서 정말 놀랐어요. 오전에 주문했는데 오후에 바로 도착했거든요. 회사에서 시켰는데 저보다 집에 먼저 도착했지 뭐예요ㅎㅎ저는 이전에 에어팟 1세대를 사용했는데, 고장나서 새 이어폰을 고민하다가 에어팟 프로 2세대를 구매하기로 했어요. 에어팟 1세대도 좋았지만, 에어팟 프로 2세대는 그야말로 노이즈 캔슬링의 신세계를 보여주는 제품이었어요.지하철이나 버스를 타고 있을 때 주변 소음이 거의 들리지 않아서 정말 편안하게 음악을 들을 수 있었어요. 음질도 에어팟 1세대보다 훨씬 좋아졌고, 3D 오디오 기능은 마치 영화관에 온 것 같은 몰입감을 선사했어요.아직 에어팟 프로 2세대를 사용하기 시작한 지 얼마 안 되었지만, 지금까지는 정말 만족스러워요. 앞으로도 계속 사용하면서 더 많은 장점을 발견할 수 있을 것 같아요.장점:빠른 배송뛰어난 노이즈 캔슬링 기능향상된 음질몰입감 있는 3D 오디오 기능단점:초큼 비싸지만 비싼값을 한다(역시 돈이 최고..)특별히 없음총평:노이즈캔슬링 최고....!!!!!!!",5,2024.03.15
