,reviews,ratings,days
0,누들국물떡볶이 양념도 맛잇고 밀떡도 길어서 아이가 신기해 하면서도 잘먹어여~풀무원음식은 다 맛잇는거같아여~^^,5,2024.03.19
1,매번 먹는 떡이 아니라 떡이 기니 아이들이 좋아하네요쿠팡 추천템이라 구매해봤는데 너무 맛있어요~,5,2024.03.18
2,오뚜기 떡볶이에는 라면사리가 들어있는데 풀무원 떡볶이에는 없네요 그점이 좀 아쉬워요 떡볶이를 좋아하는 나 잘 먹겠습니다,4,2024.03.18
3,배달음식보다 빨리되고 간편하고 더 맛있어요 추천합니다세번째 구매입니다 또 재구매의사있어요어묵은 따로 구매해서 넣었어요추천합니다,5,2024.03.17
4,맛나고 괜찬아요,3,2024.03.17
5,■ 제품명    :  생가득 말랑말랑 밀떡볶이 누들떡볶이 2인분■ 내용량     :  423.5g ■ 수량        :  2개 주문건■ 식품유형   :  떡류 ■ 열량.       : 860kcal■ 보관방법 :  냉장 보관(0~10°C)■ 유통기한 :  2024년 04월 11일 까지 ● 장점 1. 배송이 빨라서 좋았습니다. 2. 맛이 좋은 편입니다. 3. 맵지 않습니다. 4. 조리가 간편한 편이라서 좋습니다.5. 유통기한이 여유있는 편입니다. 6. 약간 할인해서 구매하였습니다.● 단점 1. 양이 좀더 많으면 좋겠습니다. 2. 가격이 계속 저렴하면 좋겠습니다.그래도 좋은 제품을 판매해 주셔서 감사합니다. 재구매 하였습니다. 추천합니다. 번창하세요!제 상품평이 모든 분들에게 도움이 되기를 바라며아래 (도움이 돼요) 꾸욱 눌러주시고 복 많이 받으세요!!!,5,2024.03.16
6,어묵만 추가해서저녁 준비로 후다닥 좋아요!!!쌀떡볶이도 좋고 누들도 좋고 그냥 풀무원은 정답입니다.,5,2024.03.16
7,조리 간편하고 맛있어서 장바구니에 담아뒀다가 할인할 때마다 주문해요어묵 조금 추가해서 먹으면 둘이서 배 터지게 먹습니다,5,2024.03.16
8,"밀떡 보다는 쌀떡을 선호하지만 쌀떡보다는 더 말랑말랑한 식감때문에 가끔씩 생각날때가 있더라구요착한 가격일때 함 맛보려고 구매했습니다 이가격에 두팩 구성이라서 가성비 면에서는 최곱니다 떡볶이 생각날때 간편하게 만들어먹을수 있어서 좋은것같아요 가늘고 긴 밀떡과 국물 떡볶이 소스, 대파와 양배추 고명으로 구성되어 있습니다 조리법은 아주 간단합니다물 200cc 에 밀떡과 소스, 고명을 넣고 5~7분간 끓여주면 되는데요 보통의 떡볶이를 만들어먹을때 넣어줬던 물의양 보다는 조금 적게 느껴지는 양입니다 그리고 소스는 일반적인 소스보다는 살짝 묽더라구요 물의 양이 적어서 짜진 않을까 걱정했다가소스가 생각했던것보다 묽어서 싱겁진 않을까 조리하는 내내 걱정하면서 만들었지만먹기 좋을만큼 간이 알맞습니다 떡이 말랑해지면 불을끄고 먹어도 되지만 취향껏 국물을 졸여주셔도 되는데요국물이 너무 졸아들면 짜지기때문에 조금 이르다싶을때 불을 꺼주시는게 더 좋습니다 한팩 당 2인분이라고 씌여있지만 무언가를 추가로 넣지않으면 부족하게 느껴지는 양입니다어묵을 추가해서 만들고 삶은달걀을 곁들여 먹었더니 그나마 푸짐하게 느껴지더라구요달달함이 받쳐주니 너무 자극적이지않아서남녀노소 무난하게 즐길수있는 맛인것같아요말랑말랑 쫄깃한 밀떡의 식감이 누구라도 좋아할만한 맛입니다 ""떡볶이""하면 매콤한맛이 제일 먼저 떠오르기 마련이라서 달콤보다는 매콤함이 한수위이길 바랬는데 달콤함이 매콤함을 잡아먹었더라구요ㅎ개인적으로는 조금 아쉬운 맛이였습니다 매콤한 떡볶이을 즐기시는 분들에게는 2% 부족한 맛이지만 가성비로는 더할나위없는 제품입니다 매콤함을 추가해서 입맛에 맞게 조리해서 먹을수도 있으니 구매해보시는것도 괜찮을듯 합니다 ❤️❤️❤️최소 하루이상 맛보고 ~최대 일주일 이상 사용해보고 ~느낀대로 솔직하게 후기를 작성합니다. 구매시 작게나마 도움이 되셨다면""도움이 돼요"" 클릭 부탁드려요~^^",4,2024.03.16
9,떡이 쫄깃해서 좋아요소스가 많이 맵지 않아서 아이들이 먹기에도 좋아요맛있어서 종종 주문해먹어요다만 어묵이 들어있지  않아 좀 아쉬워요,5,2024.03.15
10,편해서 좋아요~,4,2024.03.15
11,가격 변동이 심함그래도 계속 사 먹음맛있음,5,2024.03.14
12,초등아이들이 떡볶이 러버라서 쿠팡에서 가장 인기제품으로. 구매해보았습니다!! -배송신선하게 담날 바로 배송되었어요-양다른 떡볶이 제품이 비해 많은거같아요. 일단 누들 떡복이라 잘라서 먹으니 두배되는 거같아요. 하나 만들어 먹었는데   남았네요 - 맛엄청 맛있지도 엄청 맛없지도 않은 아주 기본적이로 쏘쏘한 맛이에요. 저도 같이 먹었는데 흠.. 맛이 그냥 기본이라. 계속 먹으니 질리더라구요 왜 남은지 알겠더라구요. 떡볶이가 엄청 쫄깃하진 않고. 걍 떡볶이도 쏘쏘 합니다. - 총평흠. 가성비는 좋지만. 두번 먹고 싶지는 않은 질리는 평범한 맛이에요 .. 재구매는 안할거같아요,3,2024.03.14
13,살짝 매콤한데 맛있어요초등아이도 잘먹어요간식용으로 딱 좋아서여러번 재주문 했습니다,5,2024.03.13
14,살짝 매콤하지만 맛있어요김치 잘먹는 초등아이도맛있다며 잘먹네요~~아이들 간식으로 딱 좋아요.,5,2024.03.13
15,"풀무원 밀 누들 국물떡볶이 2인분, 423.5g, 1개를 내돈내산 구매하여 저의 주관적인 후기를 작성 하였습니다.                                                                                                      풀무원 밀 누들 국물떡볶이를 맛보고 나서 생각보다 너무 맛있고 아이도 좋아해서 재 구매 했습니다.처음 구매 했을 땐 아이가 좋아하는 밀 떡볶이에 밀키트 제품이라 이것저것 준비 할 것  없이 이 제품만 있으면 간단하게 떡볶이가 완성 될 것 같아 간편함에 이끌려 구매 했었는데 맛있기까지 해서 다 먹고 아이가 먹고 싶다고 생각나는 떡볶이라고 해서 또 구매하게 되었습니다.풀무원 밀 누들 국물 떡볶이는 길쭉한 밀가루 떡이 특징으로 적당한 두께로 면처럼 호로록 빨아들이는 재미도 있고 아이도 먹으면서 끊어 먹기도 적당한 굵기입니다. 그리고 떡 자체도 말랑하면서 쫀득하여 씹는 느낌도 좋고 냉동 떡이 아니라서 물에 헹구고 바로 조리 가능 해서 간편합니다.                  423.5g 2인분 용량으로 구성품으로는 밀 떡볶이 떡과 국물 떡볶이 소스, 대파와 양배추 고명으로 이루어져 있으며 여기다 물 200cc만 더하여 끓여 주기만 하면 되는 제품입니다.저는 제가 좋아하는 어묵과 양배추, 대파를 추가하여쫄이 듯이 푹 끓여서 조리 해서 먹었는데 자극적이지 않은 기본 떡볶이 맛인데 꾸덕하면서왠지 내가 만든 것보다 맛있고 감칠맛도 나는 것이조금만 먹어야지 생각했는데 계속 손이 가는 맛입니다.밀키트 제품 사보면 실망하는 경우가 많은데풀무원 밀 누들 국 물떡볶이는 살 때마다 아주 맛있게 잘 먹는 제품인 것 같습니다.",5,2024.03.13
